Gene stable ID,RefSeq mRNA ID
FBgn0016081,NM_168356
FBgn0016081,NM_001274708
FBgn0016081,NM_001274708
FBgn0016081,NM_001274708
FBgn0011837,NM_001272561
FBgn0011837,NM_001272561
FBgn0011837,NM_001272561
FBgn0011837,NM_078586
FBgn0011837,NM_078586
FBgn0011837,NM_078586
FBgn0011837,NM_167333
FBgn0011837,NM_167333
FBgn0011837,NM_167333
FBgn0015036,NM_080305
FBgn0015036,NM_080305
FBgn0015036,NM_080305
FBgn0031606,NM_134992
FBgn0031606,NM_134992
FBgn0031606,NM_134992
FBgn0036310,NM_140341
FBgn0036310,NM_140341
FBgn0036310,NM_140341
FBgn0053325,NM_206460
FBgn0053325,NM_206460
FBgn0053325,NM_206460
FBgn0040799,NM_001104148
FBgn0040799,NM_001104148
FBgn0040799,NM_001104148
FBti0061510,
FBti0061510,
FBti0061510,
RR48902_transposable_element,
RR48902_transposable_element,
RR48902_transposable_element,
FBgn0054030,NM_001038904
FBgn0054030,NM_001038904
FBgn0054030,NM_001038904
FBgn0267679,
FBgn0267679,
FBgn0267679,
FBgn0002945,NM_001275101
FBgn0002945,NM_001275101
FBgn0002945,NM_001275101
FBgn0002945,NM_080049
FBgn0002945,NM_080049
FBgn0002945,NM_080049
FBgn0002945,NM_001275100
FBgn0002945,NM_001275100
FBgn0002945,NM_001275100
FBti0061601,
FBti0061601,
FBti0061601,
FBti0063086,
FBti0063086,
FBti0063086,
FBgn0037762,NM_141699
FBgn0037762,NM_141699
FBgn0037762,NM_141699
FBgn0029912,NM_132132
FBgn0029912,NM_132132
FBgn0029912,NM_132132
FBgn0030558,NM_132725
FBgn0030558,NM_132725
FBgn0030558,NM_132725
FBgn0030558,NM_001298309
FBgn0030558,NM_001298309
FBgn0030558,NM_001298309
FBgn0053415,
FBgn0053415,
FBgn0053415,
FBti0018945,
FBti0018945,
FBti0018945,
FBgn0287599,NM_001382174
FBgn0287599,NM_001382174
FBgn0287599,NM_001382174
FBgn0028475,NM_001275953
FBgn0028475,NM_001275953
FBgn0028475,NM_001275953
FBgn0028475,NM_142922
FBgn0028475,NM_142922
FBgn0028475,NM_142922
FBgn0051792,NM_165270
FBgn0051792,NM_165270
FBgn0051792,NM_165270
FBgn0051792,NM_001273619
FBgn0051792,NM_001273619
FBgn0051792,NM_001273619
FBgn0035471,NM_139579
FBgn0035471,NM_139579
FBgn0035471,NM_139579
FBgn0038693,NM_001170181
FBgn0038693,NM_001170181
FBgn0038693,NM_001170181
FBgn0038693,NM_001170182
FBgn0038693,NM_001170182
FBgn0038693,NM_001170182
FBgn0038693,NM_001300475
FBgn0038693,NM_001300475
FBgn0038693,NM_001300475
FBgn0038693,NM_001300474
FBgn0038693,NM_001300474
FBgn0038693,NM_001300474
FBgn0038693,NM_142538
FBgn0038693,NM_142538
FBgn0038693,NM_142538
FBgn0029724,NM_131956
FBgn0029724,NM_131956
FBgn0029724,NM_131956
FBgn0030230,NM_001272500
FBgn0030230,NM_001272500
FBgn0030230,NM_001272500
FBgn0030230,NM_001169244
FBgn0030230,NM_001169244
FBgn0030230,NM_001169244
FBgn0030230,NM_132423
FBgn0030230,NM_132423
FBgn0030230,NM_132423
FBgn0030230,NM_001272499
FBgn0030230,NM_001272499
FBgn0030230,NM_001272499
FBgn0267479,
FBgn0267479,
FBgn0267479,
FBgn0263407,
FBgn0263407,
FBgn0263407,
FBti0061762,
FBti0061762,
FBti0061762,
FBgn0036335,NM_079327
FBgn0036335,NM_079327
FBgn0036335,NM_079327
FBti0061080,
FBti0061080,
FBti0061080,
FBgn0027929,NM_176031
FBgn0027929,NM_176031
FBgn0027929,NM_176031
FBgn0027929,NM_001273523
FBgn0027929,NM_001273523
FBgn0027929,NM_001273523
FBgn0003527,NM_057404
FBgn0003527,NM_057404
FBgn0003527,NM_057404
FBgn0283545,NM_130670
FBgn0283545,NM_130670
FBgn0283545,NM_130670
FBgn0030029,NM_132241
FBgn0030029,NM_132241
FBgn0030029,NM_132241
FBti0215347,
FBti0215347,
FBti0215347,
FBti0061552,
FBti0061552,
FBti0061552,
FBgn0284231,NM_001347794
FBgn0284231,NM_001347794
FBgn0284231,NM_001347794
FBgn0284231,NM_001347793
FBgn0284231,NM_001347793
FBgn0284231,NM_001347793
FBgn0265836,NM_001299697
FBgn0265836,NM_001299697
FBgn0265836,NM_001299697
FBgn0038744,NM_001260268
FBgn0038744,NM_001260268
FBgn0038744,NM_001260268
FBgn0038744,NM_001300483
FBgn0038744,NM_001300483
FBgn0038744,NM_001300483
FBgn0038744,NM_142585
FBgn0038744,NM_142585
FBgn0038744,NM_142585
FBgn0038744,NM_001260269
FBgn0038744,NM_001260269
FBgn0038744,NM_001260269
FBti0063691,
FBti0063691,
FBti0063691,
FBgn0036950,NM_001275165
FBgn0036950,NM_001275165
FBgn0036950,NM_001275165
FBgn0036950,NM_140932
FBgn0036950,NM_140932
FBgn0036950,NM_140932
FBti0062972,
FBti0062972,
FBti0062972,
FBgn0010770,NM_057631
FBgn0010770,NM_057631
FBgn0010770,NM_057631
FBgn0262112,NM_143468
FBgn0262112,NM_143468
FBgn0262112,NM_143468
FBti0059891,
FBti0059891,
FBti0059891,
FBtr0304517_df_nrg,
FBtr0304517_df_nrg,
FBtr0304517_df_nrg,
FBgn0034705,NM_166516
FBgn0034705,NM_166516
FBgn0034705,NM_166516
FBgn0034705,NM_001299778
FBgn0034705,NM_001299778
FBgn0034705,NM_001299778
FBgn0034705,NM_001299779
FBgn0034705,NM_001299779
FBgn0034705,NM_001299779
FBti0062337,
FBti0062337,
FBti0062337,
FBgn0001255,NM_080169
FBgn0001255,NM_080169
FBgn0001255,NM_080169
FBgn0035138,NM_138191
FBgn0035138,NM_138191
FBgn0035138,NM_138191
FBgn0260858,NM_132195
FBgn0260858,NM_132195
FBgn0260858,NM_132195
FBgn0038039,NM_141934
FBgn0038039,NM_141934
FBgn0038039,NM_141934
FBgn0038039,NM_206479
FBgn0038039,NM_206479
FBgn0038039,NM_206479
FBgn0286051,NM_139793
FBgn0286051,NM_139793
FBgn0286051,NM_139793
FBgn0286051,NM_168172
FBgn0286051,NM_168172
FBgn0286051,NM_168172
FBgn0028412,NM_001259062
FBgn0028412,NM_001259062
FBgn0028412,NM_001259062
FBgn0028412,NM_134430
FBgn0028412,NM_134430
FBgn0028412,NM_134430
FBgn0028412,NM_058117
FBgn0028412,NM_058117
FBgn0028412,NM_058117
FBti0062116,
FBti0062116,
FBti0062116,
FBgn0036110,NM_140163
FBgn0036110,NM_140163
FBgn0036110,NM_140163
FBgn0035855,NM_139932
FBgn0035855,NM_139932
FBgn0035855,NM_139932
FBti0061641,
FBti0061641,
FBti0061641,
FBgn0266369,NM_136231
FBgn0266369,NM_136231
FBgn0266369,NM_136231
FBgn0003249,NM_079687
FBgn0003249,NM_079687
FBgn0003249,NM_079687
FBgn0052376,NM_168223
FBgn0052376,NM_168223
FBgn0052376,NM_168223
FBgn0038033,NM_001316536
FBgn0038033,NM_001316536
FBgn0038033,NM_001316536
FBgn0038033,NM_169464
FBgn0038033,NM_169464
FBgn0038033,NM_169464
FBgn0038033,NM_001032011
FBgn0038033,NM_001032011
FBgn0038033,NM_001032011
FBgn0030451,NM_001298257
FBgn0030451,NM_001298257
FBgn0030451,NM_001298257
FBgn0030451,NM_132628
FBgn0030451,NM_132628
FBgn0030451,NM_132628
FBgn0030451,NM_001298258
FBgn0030451,NM_001298258
FBgn0030451,NM_001298258
FBti0063697,
FBti0063697,
FBti0063697,
FBgn0037028,NM_001202214
