Assembly1	Assembly2	Size
211000022279575	chrUn_DS484673v1	1696
211000022279483	chrUn_DS484231v1	2574
211000022280212	chrUn_DS484066v1	3025
211000022278929	chrUn_DS484559v1	1905
211000022278216	chrUn_DS484460v1	2076
211000022278225	chrX_DS484284v1_random	2432
211000022279233	chrUn_DS484193v1	2647
211000022280198	chrUn_DS484212v1	2612
211000022279078	chrX_DS484618v1_random	1800
211000022279633	chrUn_DS484619v1	1800
211000022278615	chrX_DS484201v1_random	2637
211000022279370	chrUn_DS483944v1	3622
211000022280026	chrUn_DS483945v1	3622
211000022280537	chrX_DS484140v1_random	2819
211000022280112	chrUn_DS484217v1	2603
211000022280062	chrX_DS484216v1_random	2603
211000022279508	chrUn_DS485263v1	1188
211000022279537	chrX_DS484293v1_random	2420
211000022279503	chrUn_DS483675v1	12536
211000022278090	chrUn_DS485608v1	1097
211000022279051	chrUn_DS485607v1	1097
211000022278326	chrX_DS485606v1_random	1097
211000022280706	chrUn_DS484848v1	1410
3Cen_mapped_Scaffold_1_D1896_D1895	chrUn_CP007074v1	76224
211000022278372	chrUn_DS483879v1	4163
211000022279092	chrX_DS484344v1_random	2322
211000022279699	chrUn_DS484998v1	1294
211000022280007	chrX_DS484997v1_random	1294
211000022278735	chrUn_DS484999v1	1294
211000022279188	chrX_DS483995v1_random	3347
211000022279039	chrUn_DS484400v1	2190
211000022278510	chrY_DS484270v1_random	2473
211000022278194	chrUn_DS484964v1	1315
211000022279343	chrUn_DS484962v1	1315
211000022279674	chrX_DS484963v1_random	1315
211000022278492	chrX_DS484961v1_random	1315
211000022279725	chrY_DS485097v1_random	1243
211000022278298	chrUn_DS484707v1	1614
211000022280322	chrUn_DS484862v1	1394
211000022278469	chrX_DS484684v1_random	1678
211000022280269	chrUn_DS484521v1	1962
211000022278528	chrUn_DS484522v1	1962
211000022279571	chrUn_DS484520v1	1962
211000022278907	chrX_DS484657v1_random	1724
211000022279931	chrUn_DS484656v1	1724
211000022278365	chrX_DS484552v1_random	1920
211000022278554	chrUn_DS484096v1	2916
211000022278436	chrY_DS484142v1_random	2815
211000022280669	chrX_DS484026v1_random	3201
211000022279394	chrUn_DS484025v1	3201
211000022278853	chrX_DS484409v1_random	2166
211000022278032	chrUn_DS483755v1	6936
211000022279154	chrUn_DS485671v1	1079
211000022280084	chrUn_DS485670v1	1079
211000022279602	chrUn_DS484205v1	2629
211000022279664	chrUn_DS484802v1	1462
211000022279516	chrUn_DS484954v1	1323
211000022278830	chrX_DS484955v1_random	1323
211000022279288	chrUn_DS484118v1	2858
211000022278858	chrUn_DS484282v1	2435
211000022279479	chrUn_DS484370v1	2248
211000022278360	chrX_DS485514v1_random	1121
211000022279504	chrX_DS484346v1_random	2317
211000022279484	chrY_DS484908v1_random	1360
211000022280518	chrUn_DS483774v1	6041
211000022280558	chrUn_DS483813v1	4994
211000022278390	chrUn_DS483692v1	11985
211000022278736	chrY_DS485534v1_random	1116
211000022279845	chrUn_DS485535v1	1116
211000022280312	chrUn_DS485536v1	1116
211000022279203	chrUn_DS485531v1	1116
211000022279546	chrY_DS485532v1_random	1116
211000022279618	chrUn_DS485533v1	1116
211000022278960	chrUn_DS483805v1	5182
211000022279085	chrX_DS484357v1_random	2287
211000022279761	chrUn_DS484083v1	2957
211000022280539	chrX_DS483893v1_random	4012
211000022279307	chrX_DS484423v1_random	2126
211000022280171	chrUn_DS484159v1	2784
211000022279735	chrUn_DS483750v1	7722
211000022279888	chrX_DS484857v1_random	1402
211000022278686	chrUn_DS483703v1	11126
211000022279162	chrUn_DS484498v1	1998
211000022278482	chrX_DS484497v1_random	1998
211000022278362	chrUn_DS484496v1	1998
211000022278327	chrUn_DS484226v1	2576
211000022279961	chrUn_DS483953v1	3557
211000022278898	chrUn_DS485904v1	1025
211000022278972	chrUn_DS485905v1	1025
211000022278207	chrUn_DS485906v1	1025
211000022278377	chrUn_DS485907v1	1025
211000022279872	chrUn_DS485177v1	1218
211000022279335	chrY_DS485178v1_random	1218
211000022280472	chrUn_DS483787v1	5698
211000022278827	chrX_DS484783v1_random	1482
211000022280692	chrUn_DS483960v1	3527
211000022279945	chrUn_DS483961v1	3527
211000022279276	chrUn_DS483734v1	15522
211000022280555	chrUn_DS484036v1	3174
211000022280301	chrUn_DS484543v1	1931
211000022278896	chrX_DS483963v1_random	3523
211000022279594	chrUn_DS483686v1	12148
2Cen_mapped_Scaffold_10_D1684	chrUn_CP007071v1	19956
211000022279846	chrX_DS484620v1_random	1798
211000022279487	chrUn_DS485392v1	1151
211000022280320	chrUn_DS484616v1	1802
211000022278285	chrUn_DS485572v1	1107
211000022278725	chrX_DS485573v1_random	1107
211000022279510	chrUn_DS485571v1	1107
211000022279077	chrX_DS484682v1_random	1680
211000022279869	chrUn_DS483746v1	9341
211000022279172	chrUn_DS485079v1	1253
211000022279071	chrX_DS485080v1_random	1253
211000022278348	chrUn_DS485029v1	1277
211000022280157	chrY_DS485028v1_random	1277
211000022279182	chrUn_DS485027v1	1277
211000022278973	chrUn_DS485055v1	1264
211000022279494	chrY_DS484589v1_random	1863
211000022279538	chrUn_DS484588v1	1863
211000022278470	chrX_DS484951v1_random	1327
211000022278866	chrUn_DS484728v1	1566
211000022279106	chrUn_DS484960v1	1316
211000022278861	chrX_DS484768v1_random	1509
211000022278928	chrUn_DS485442v1	1139
211000022279418	chrUn_DS485439v1	1139
211000022279458	chrY_DS485440v1_random	1139
211000022279422	chrUn_DS485441v1	1139
211000022278807	chrUn_DS485438v1	1139
211000022278879	chrX_DS484519v1_random	1963
mitochondrion_genome	chrM	19524
211000022280205	chrUn_DS484107v1	2882
211000022280012	chrUn_DS484109v1	2882
211000022280311	chrUn_DS484108v1	2882
211000022279622	chrUn_DS485292v1	1179
211000022279375	chrUn_DS485291v1	1179
211000022278702	chrUn_DS485290v1	1179
211000022278271	chrUn_DS484511v1	1974
211000022280050	chrUn_DS483837v1	4608
211000022280142	chrUn_DS485746v1	1062
211000022279242	chrUn_DS485742v1	1062
211000022278852	chrX_DS485745v1_random	1062
211000022278540	chrUn_DS485743v1	1062
211000022278385	chrUn_DS485747v1	1062
211000022278888	chrUn_DS484394v1	2200
211000022279866	chrUn_DS484271v1	2470
211000022278908	chrX_DS484305v1_random	2389
211000022279146	chrUn_DS483738v1	12856
211000022278501	chrUn_DS485794v1	1049
211000022279424	chrUn_DS485796v1	1049
211000022278682	chrY_DS485795v1_random	1049
211000022279086	chrX_DS485798v1_random	1049
211000022278237	chrX_DS485797v1_random	1049
211000022279282	chrUn_DS484510v1	1975
211000022280526	chrX_DS483745v1_random	9368
211000022278695	chrX_DS484477v1_random	2035
211000022279215	chrUn_DS485965v1	1012
211000022279134	chrUn_DS485964v1	1012
211000022278458	chrX_DS485962v1_random	1012
211000022279670	chrY_DS485963v1_random	1012
211000022279589	chrY_DS485960v1_random	1012
211000022279431	chrUn_DS483979v1	3434
211000022278780	chrUn_DS484478v1	2033
211000022278922	chrUn_DS484479v1	2033
211000022278774	chrX_DS484598v1_random	1842
211000022278675	chrUn_DS483901v1	3950
211000022278794	chrUn_DS484160v1	2783
211000022279929	chrUn_DS484389v1	2207
211000022279123	chrY_DS484637v1_random	1766
211000022279332	chrX_DS484474v1_random	2044
211000022278709	chrY_DS484681v1_random	1683
211000022278471	chrX_DS484679v1_random	1683
211000022279582	chrY_DS484680v1_random	1683
211000022279883	chrX_DS483809v1_random	5057
211000022280148	chrX_DS484185v1_random	2686
211000022280508	chrUn_DS483878v1	4182
211000022279003	chrUn_DS484220v1	2588
211000022278174	chrUn_DS485386v1	1153
211000022279881	chrX_DS485384v1_random	1153
211000022280688	chrUn_DS485385v1	1153
211000022279685	chrUn_DS484943v1	1332
211000022280120	chrUn_DS485221v1	1201
211000022278465	chrX_DS484610v1_random	1813
211000022278876	chrX_DS484611v1_random	1813
211000022279112	chrX_DS484832v1_random	1425
211000022279926	chrUn_DS485022v1	1279
211000022279018	chrUn_DS483759v1	6860
211000022280735	chrUn_DS483758v1	6860
211000022279960	chrUn_DS484300v1	2400
211000022280305	chrUn_DS483899v1	3964
211000022280594	chrX_DS484488v1_random	2009
211000022279191	chrUn_DS484239v1	2549
211000022279158	chrUn_DS484566v1	1900
211000022278435	chrUn_DS484567v1	1900
211000022280316	chrUn_DS484091v1	2926
211000022278324	chrX_DS485015v1_random	1283
211000022279835	chrY_DS485014v1_random	1283
211000022279155	chrUn_DS485684v1	1076
211000022278776	chrUn_DS485683v1	1076
211000022279141	chrUn_DS485681v1	1076
211000022279013	chrUn_DS485682v1	1076
211000022280592	chrX_DS484133v1_random	2829
211000022278950	chrX_DS485334v1_random	1164
211000022280519	chrUn_DS483770v1	6193
211000022279720	chrX_DS485978v1_random	1008
211000022278095	chrUn_DS485979v1	1008
211000022279200	chrUn_DS485980v1	1008
211000022278203	chrUn_DS483976v1	3463
211000022279087	chrUn_DS485005v1	1289
211000022280241	chrX_DS483795v1_random	5387
2Cen_mapped_Scaffold_43_D1668	chrUn_CP007072v1	44411
211000022280553	chrUn_DS484234v1	2561
3Cen_mapped_Scaffold_41_D1641	chrUn_CP007078v1	22604
211000022280500	chrUn_DS484414v1	2157
211000022279126	chrUn_DS484263v1	2487
211000022279066	chrX_DS484777v1_random	1489
211000022280143	chrUn_DS484466v1	2062
211000022279405	chrUn_DS485725v1	1066
211000022279014	chrUn_DS485563v1	1109
211000022280000	chrUn_DS485565v1	1109
211000022278873	chrY_DS485561v1_random	1109
211000022279859	chrX_DS485562v1_random	1109
211000022280022	chrX_DS484907v1_random	1361
211000022278212	chrUn_DS484933v1	1337
211000022279871	chrUn_DS484932v1	1337
211000022278164	chrUn_DS484058v1	3073
211000022279179	chrUn_DS484059v1	3073
211000022279696	chrUn_DS484799v1	1464
211000022279655	chrUn_DS485338v1	1163
211000022278119	chrUn_DS485340v1	1163
211000022278296	chrUn_DS485339v1	1163
211000022278267	chrUn_DS485337v1	1163
211000022279986	chrY_DS485335v1_random	1163
211000022279006	chrX_DS485336v1_random	1163
211000022280043	chrUn_DS485792v1	1050
211000022278410	chrUn_DS485793v1	1050
211000022280160	chrUn_DS484661v1	1716
211000022278677	chrX_DS484660v1_random	1716
211000022279632	chrUn_DS485527v1	1117
211000022279576	chrUn_DS485528v1	1117
211000022279985	chrUn_DS485525v1	1117
211000022279042	chrUn_DS485529v1	1117
211000022278944	chrUn_DS485526v1	1117
211000022279769	chrUn_DS485530v1	1117
211000022279514	chrX_DS484384v1_random	2220
211000022279301	chrX_DS484603v1_random	1830
211000022279756	chrUn_DS484427v1	2117
211000022278312	chrUn_DS483977v1	3458
211000022280578	chrX_DS483948v1_random	3602
211000022280340	chrUn_DS484145v1	2804
211000022280110	chrUn_DS483891v1	4030
211000022278926	chrUn_DS483845v1	4465
211000022279236	chrY_DS485560v1_random	1110
211000022279102	chrUn_DS485557v1	1110
211000022278309	chrUn_DS485558v1	1110
211000022280331	chrUn_DS485559v1	1110
211000022278152	chrUn_DS485984v1	1006
211000022278718	chrUn_DS485985v1	1006
211000022279353	chrUn_DS485983v1	1006
211000022280236	chrUn_DS483768v1	6294
211000022278952	chrUn_DS484102v1	2903
211000022278825	chrX_DS484415v1_random	2147
211000022279481	chrUn_DS484635v1	1770
211000022278618	chrX_DS484811v1_random	1452
211000022278690	chrX_DS484810v1_random	1452
211000022278730	chrUn_DS485693v1	1074
211000022279959	chrUn_DS485692v1	1074
211000022280054	chrUn_DS485694v1	1074
211000022278704	chrX_DS485691v1_random	1074
211000022278651	chrUn_DS485165v1	1222
211000022278935	chrY_DS485166v1_random	1222
XY_mapped_Scaffold_7_D1574	chrUn_DS483562v1	50625
211000022279342	chrUn_DS485968v1	1011
211000022279946	chrUn_DS485966v1	1011
211000022279180	chrUn_DS485969v1	1011
211000022278483	chrX_DS485967v1_random	1011
211000022278823	chrX_DS484360v1_random	2283
211000022279214	chrUn_DS484238v1	2555
211000022278614	chrX_DS484604v1_random	1829
211000022278905	chrX_DS484605v1_random	1829
211000022280289	chrUn_DS484318v1	2375
211000022278958	chrUn_DS485466v1	1133
211000022278516	chrX_DS485465v1_random	1133
211000022279744	chrUn_DS485464v1	1133
211000022280255	chrUn_DS484001v1	3299
211000022279070	chrUn_DS484276v1	2447
211000022280466	chrX_DS483803v1_random	5232
211000022279968	chrX_DS484124v1_random	2846
211000022279389	chrUn_DS483848v1	4436
211000022279229	chrUn_DS483970v1	3490
211000022278244	chrUn_DS484746v1	1540
211000022278176	chrUn_DS484726v1	1571
Unmapped_Scaffold_24_D1707	chrUn_CP007086v1	22882
211000022280259	chrUn_DS483649v1	13935
211000022278420	chrUn_DS484842v1	1416
211000022278366	chrUn_DS484841v1	1416
211000022278558	chrUn_DS484843v1	1416
211000022280702	chrUn_DS485548v1	1112
211000022278200	chrUn_DS485547v1	1112
211000022280023	chrX_DS485549v1_random	1112
211000022280173	chrX_DS485550v1_random	1112
211000022279061	chrUn_DS484106v1	2884
211000022280748	chrY_DS483788v1_random	5564
211000022279708	chrUn_DS485031v1	1275
211000022279805	chrUn_DS485032v1	1275
211000022280031	chrUn_DS484789v1	1473
211000022279793	chrUn_DS484812v1	1451
211000022278850	chrX_DS484741v1_random	1544
211000022280218	chrUn_DS484242v1	2541
211000022278963	chrUn_DS484243v1	2541
211000022280341	chrUn_DS484898v1	1371
211000022279448	chrUn_DS485370v1	1156
211000022279309	chrUn_DS485371v1	1156
211000022280032	chrUn_DS483904v1	3932
211000022279499	chrX_DS483971v1_random	3478
211000022279045	chrX_DS485050v1_random	1268
211000022278791	chrY_DS485051v1_random	1268
211000022279709	chrY_DS484171v1_random	2728
211000022278284	chrUn_DS484485v1	2017
211000022279820	chrUn_DS484502v1	1990
211000022279130	chrUn_DS484501v1	1990
211000022278693	chrX_DS484763v1_random	1519
211000022279002	chrUn_DS484606v1	1826
211000022279634	chrUn_DS483801v1	5281
211000022280437	chrUn_DS483780v1	5968
211000022279679	chrY_DS485315v1_random	1171
211000022278432	chrUn_DS485313v1	1171
211000022279999	chrY_DS485316v1_random	1171
211000022279956	chrUn_DS485314v1	1171
211000022279923	chrUn_DS485574v1	1106
211000022279005	chrY_DS485575v1_random	1106
211000022279898	chrUn_DS484255v1	2516
Unmapped_Scaffold_8_D1580_D1567	chrUn_CP007081v1	88768
211000022279021	chrUn_DS484111v1	2881
211000022279703	chrX_DS484131v1_random	2833
211000022280649	chrX_DS483818v1_random	4917
211000022278478	chrX_DS485096v1_random	1244
211000022278844	chrX_DS484323v1_random	2363
211000022280298	chrUn_DS484649v1	1738
Unmapped_Scaffold_29_D1705	chrUn_CP007088v1	37106
211000022278649	chrX_DS484337v1_random	2335
211000022278127	chrUn_DS484923v1	1343
211000022279973	chrUn_DS484189v1	2669
211000022278409	chrUn_DS485205v1	1206
211000022279420	chrUn_DS483673v1	12654
Y_mapped_Scaffold_9_D1573	chrY_CP007108v1_random	66731
211000022280615	chrUn_DS483811v1	5000
211000022280440	chrUn_DS484007v1	3262
211000022278299	chrX_DS484219v1_random	2591
211000022279029	chrUn_DS484577v1	1882
211000022278218	chrY_DS484021v1_random	3213
211000022280016	chrX_DS483888v1_random	4072
211000022278855	chrX_DS484890v1_random	1376
211000022278838	chrX_DS484837v1_random	1423
211000022279097	chrUn_DS484601v1	1832
211000022280220	chrUn_DS484602v1	1832
211000022278856	chrX_DS485043v1_random	1271
211000022280174	chrUn_DS485041v1	1271
211000022279269	chrY_DS485042v1_random	1271
211000022279978	chrX_DS485044v1_random	1271
211000022279378	chrUn_DS485045v1	1271
211000022278573	chrUn_DS485659v1	1082
211000022278623	chrX_DS485660v1_random	1082
211000022280474	chrUn_DS484090v1	2927
211000022278743	chrY_DS484250v1_random	2521
211000022278927	chrUn_DS484251v1	2521
211000022279507	chrUn_DS484838v1	1422
211000022280548	chrUn_DS484209v1	2618
211000022278846	chrX_DS484112v1_random	2877
211000022279669	chrY_DS485318v1_random	1170
211000022278724	chrX_DS484101v1_random	2904
211000022280150	chrUn_DS485591v1	1102
211000022280193	chrUn_DS485589v1	1102
211000022279604	chrX_DS485592v1_random	1102
211000022279056	chrUn_DS484241v1	2547
211000022278233	chrX_DS484507v1_random	1978
211000022279297	chrX_DS484669v1_random	1708
211000022280586	chrX_DS484278v1_random	2439
211000022280455	chrUn_DS483929v1	3717
211000022278297	chrX_DS485172v1_random	1220
211000022280230	chrUn_DS485169v1	1220
211000022278577	chrY_DS484351v1_random	2303
211000022278597	chrUn_DS484727v1	1567
211000022279057	chrUn_DS485605v1	1098
211000022279227	chrX_DS485603v1_random	1098
211000022279586	chrY_DS485604v1_random	1098
Y_mapped_Scaffold_18_D1698	chrY_CP007111v1_random	34521
211000022279318	chrUn_DS485007v1	1287
211000022280772	chrUn_DS483629v1	15417
211000022278416	chrUn_DS485365v1	1157
211000022279069	chrUn_DS485368v1	1157
211000022278480	chrX_DS484547v1_random	1927
211000022278664	chrUn_DS484275v1	2451
211000022280338	chrUn_DS484780v1	1487
211000022279540	chrUn_DS484779v1	1487
211000022280015	chrUn_DS483824v1	4820
211000022279197	chrUn_DS484320v1	2369
211000022280469	chrUn_DS484144v1	2811
211000022278185	chrUn_DS483728v1	12681
211000022280070	chrUn_DS484434v1	2108
211000022278340	chrX_DS484819v1_random	1441
2L	chr2L	23513712
211000022278976	chrX_DS484506v1_random	1980
211000022279944	chrX_DS484970v1_random	1310
211000022278204	chrUn_DS484972v1	1310
211000022278565	chrY_DS484643v1_random	1751
211000022278757	chrUn_DS484920v1	1347
211000022279415	chrUn_DS484919v1	1347
211000022280064	chrUn_DS483702v1	11148
211000022278257	chrUn_DS485539v1	1115
211000022279666	chrUn_DS485538v1	1115
211000022279108	chrX_DS485537v1_random	1115
211000022279721	chrX_DS485054v1_random	1265
211000022279522	chrUn_DS484817v1	1445
211000022280211	chrUn_DS484044v1	3144
211000022279928	chrUn_DS483815v1	4967
211000022280588	chrUn_DS484018v1	3223
Unmapped_Scaffold_52_D1739	chrUn_CP007098v1	43383
211000022279644	chrUn_DS485939v1	1018
211000022278626	chrX_DS485941v1_random	1018
211000022278759	chrUn_DS485940v1	1018
211000022278350	chrX_DS485942v1_random	1018
211000022279942	chrUn_DS484458v1	2079
211000022278845	chrX_DS484457v1_random	2079
211000022278953	chrUn_DS484380v1	2227
211000022279850	chrUn_DS484285v1	2431
211000022279627	chrUn_DS484544v1	1929
211000022278506	chrUn_DS484470v1	2059
211000022278738	chrUn_DS484232v1	2570
211000022279515	chrX_DS484767v1_random	1510
211000022278280	chrUn_DS484052v1	3089
211000022279967	chrX_DS484297v1_random	2413
211000022280228	chrUn_DS484335v1	2342
211000022279334	chrY_DS484336v1_random	2342
211000022280652	chrUn_DS483839v1	4581
211000022280556	chrUn_DS483986v1	3386
211000022279382	chrY_DS484128v1_random	2836
211000022280108	chrUn_DS484192v1	2664
211000022279438	chrX_DS485816v1_random	1046
211000022279909	chrUn_DS484286v1	2429
211000022279966	chrUn_DS484342v1	2326
Unmapped_Scaffold_38_D1625	chrUn_CP007092v1	28305
211000022278921	chrX_DS484178v1_random	2698
211000022278098	chrUn_DS484139v1	2820
211000022278351	chrUn_DS483877v1	4183
211000022278414	chrX_DS484803v1_random	1461
211000022279509	chrUn_DS484804v1	1461
211000022279601	chrX_DS484462v1_random	2068
211000022279660	chrUn_DS485265v1	1186
211000022278355	chrX_DS485266v1_random	1186
211000022278142	chrY_DS485267v1_random	1186
211000022279536	chrX_DS485268v1_random	1186
211000022279406	chrUn_DS485264v1	1186
211000022279308	chrUn_DS485933v1	1019
211000022279785	chrUn_DS485932v1	1019
211000022278638	chrX_DS485934v1_random	1019
211000022279264	chrY_DS485938v1_random	1019
211000022280681	chrUn_DS485935v1	1019
211000022278281	chrUn_DS485073v1	1259
211000022279688	chrY_DS483790v1_random	5520
211000022279008	chrX_DS483669v1_random	12848
211000022278316	chrX_DS484200v1_random	2639
211000022278295	chrUn_DS485381v1	1154
211000022279474	chrUn_DS485379v1	1154
211000022279469	chrUn_DS485383v1	1154
211000022279726	chrUn_DS485382v1	1154
211000022279937	chrY_DS484465v1_random	2063
211000022280294	chrUn_DS484464v1	2063
211000022278411	chrX_DS484576v1_random	1888
211000022279079	chrX_DS484952v1_random	1326
211000022280034	chrX_DS484953v1_random	1326
211000022280524	chrUn_DS484006v1	3268
211000022278408	chrUn_DS484988v1	1301
211000022279984	chrX_DS484990v1_random	1301
211000022278140	chrUn_DS485467v1	1132
211000022279088	chrUn_DS485469v1	1132
211000022279125	chrUn_DS485468v1	1132
211000022279799	chrY_DS485470v1_random	1132
211000022279271	chrUn_DS485847v1	1040
211000022280117	chrUn_DS485848v1	1040
211000022278715	chrX_DS485845v1_random	1040
211000022278305	chrUn_DS485846v1	1040
211000022279502	chrX_DS484143v1_random	2814
211000022280028	chrUn_DS484534v1	1943
211000022279955	chrX_DS483789v1_random	5555
211000022280516	chrUn_DS483859v1	4336
211000022278697	chrUn_DS483933v1	3708
211000022279277	chrX_DS484085v1_random	2945
211000022279310	chrUn_DS484437v1	2103
211000022278733	chrUn_DS484764v1	1518
211000022279754	chrUn_DS483670v1	12827
211000022278643	chrX_DS484540v1_random	1935
211000022279279	chrY_DS484863v1_random	1393
211000022280131	chrUn_DS484718v1	1586
211000022279957	chrX_DS484719v1_random	1586
211000022278525	chrUn_DS484720v1	1586
211000022280235	chrUn_DS484792v1	1471
211000022278144	chrUn_DS484944v1	1330
211000022279485	chrY_DS484945v1_random	1330
211000022280679	chrUn_DS484292v1	2421
211000022279436	chrUn_DS484291v1	2421
211000022280436	chrUn_DS484123v1	2848
211000022280607	chrUn_DS483828v1	4785
211000022279148	chrUn_DS485411v1	1146
211000022279935	chrY_DS485416v1_random	1146
211000022278663	chrUn_DS485415v1	1146
211000022278669	chrX_DS485909v1_random	1023
211000022279526	chrUn_DS485911v1	1023
211000022279731	chrX_DS483897v1_random	3984
211000022278167	chrUn_DS484855v1	1404
2R	chr2R	25286936
211000022278578	chrX_DS484298v1_random	2412
211000022278283	chrUn_DS485376v1	1155
211000022278499	chrY_DS485375v1_random	1155
211000022278892	chrX_DS485378v1_random	1155
211000022279153	chrY_DS485374v1_random	1155
211000022280224	chrUn_DS485067v1	1261
211000022279856	chrUn_DS485066v1	1261
211000022278997	chrY_DS484818v1_random	1443
211000022278556	chrUn_DS483799v1	5323
211000022280115	chrUn_DS484015v1	3234
211000022278890	chrUn_DS484549v1	1926
211000022278406	chrUn_DS484548v1	1926
211000022280584	chrX_DS484081v1_random	2964
211000022280538	chrX_DS484051v1_random	3100
211000022278398	chrUn_DS484050v1	3100
211000022280077	chrX_DS485287v1_random	1181
211000022278429	chrUn_DS485285v1	1181
211000022279831	chrY_DS485288v1_random	1181
211000022279322	chrX_DS484636v1_random	1769
211000022280257	chrUn_DS485323v1	1167
211000022278781	chrUn_DS485325v1	1167
211000022278897	chrUn_DS485324v1	1167
211000022278974	chrUn_DS483712v1	14199
211000022278247	chrUn_DS485957v1	1013
211000022278258	chrUn_DS485958v1	1013
211000022279010	chrX_DS485959v1_random	1013
211000022280446	chrUn_DS483898v1	3970
211000022280645	chrX_DS483821v1_random	4879
211000022279523	chrUn_DS483741v1	11807
211000022280532	chrX_DS484061v1_random	3059
211000022278601	chrY_DS483959v1_random	3537
211000022279094	chrUn_DS483662v1	13317
211000022279371	chrUn_DS484894v1	1375
211000022280465	chrUn_DS483753v1	7123
211000022280221	chrUn_DS484762v1	1520
211000022279396	chrUn_DS483856v1	4370
211000022280226	chrUn_DS484700v1	1625
211000022278099	chrX_DS484701v1_random	1625
211000022280297	chrUn_DS484714v1	1597
211000022279715	chrX_DS484468v1_random	2060
211000022279096	chrUn_DS484469v1	2060
211000022279517	chrUn_DS484467v1	2060
211000022278123	chrUn_DS485495v1	1126
211000022278959	chrY_DS485492v1_random	1126
211000022278412	chrUn_DS485496v1	1126
211000022279564	chrUn_DS485491v1	1126
211000022279212	chrUn_DS485494v1	1126
211000022279174	chrY_DS485236v1_random	1195
211000022278466	chrX_DS485238v1_random	1195
211000022278231	chrX_DS485235v1_random	1195
211000022278290	chrUn_DS485239v1	1195
211000022278547	chrUn_DS485240v1	1195
211000022280655	chrUn_DS483781v1	5952
211000022278636	chrX_DS484587v1_random	1865
211000022278582	chrUn_DS485138v1	1229
211000022280179	chrUn_DS485140v1	1229
211000022280691	chrUn_DS485182v1	1213
211000022279315	chrX_DS485879v1_random	1031
211000022279356	chrUn_DS485880v1	1031
211000022280014	chrUn_DS485882v1	1031
211000022279111	chrX_DS485899v1_random	1027
211000022279272	chrY_DS485901v1_random	1027
211000022278884	chrUn_DS485900v1	1027
211000022280479	chrX_DS483885v1_random	4085
