Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Transcription start site (TSS)
ENSDARG00000078167	4	44470531	44518893	-1	44509523
ENSDARG00000115890	22	1708760	1713309	1	1708760
ENSDARG00000101085	18	328689	330937	1	328736
ENSDARG00000101085	18	328689	330937	1	328689
ENSDARG00000007250	22	11070842	11079068	-1	11079068
ENSDARG00000007250	22	11070842	11079068	-1	11078988
ENSDARG00000113690	4	54316804	54338253	-1	54338253
ENSDARG00000113690	4	54316804	54338253	-1	54338252
ENSDARG00000113690	4	54316804	54338253	-1	54337344
ENSDARG00000113690	4	54316804	54338253	-1	54322204
ENSDARG00000011449	7	14211322	14266466	1	14216970
ENSDARG00000011449	7	14211322	14266466	1	14211322
ENSDARG00000011449	7	14211322	14266466	1	14247659
ENSDARG00000011449	7	14211322	14266466	1	14211322
ENSDARG00000099200	19	42547699	42551338	-1	42551338
ENSDARG00000099200	19	42547699	42551338	-1	42551299
ENSDARG00000040250	1	1915967	1923253	1	1915967
ENSDARG00000044753	21	15733880	15749719	1	15733949
ENSDARG00000044753	21	15733880	15749719	1	15733880
ENSDARG00000006560	2	854444	879800	-1	879800
ENSDARG00000099086	14	32074541	32148201	1	32074563
ENSDARG00000099086	14	32074541	32148201	1	32074563
ENSDARG00000099086	14	32074541	32148201	1	32074541
ENSDARG00000074302	1	30551777	30554973	1	30551777
ENSDARG00000061371	2	29249204	29353179	1	29257975
ENSDARG00000061371	2	29249204	29353179	1	29257942
ENSDARG00000061371	2	29249204	29353179	1	29249204
ENSDARG00000061371	2	29249204	29353179	1	29249561
ENSDARG00000063574	23	547107	552539	-1	552539
ENSDARG00000086471	23	25879320	25942859	1	25893020
ENSDARG00000086471	23	25879320	25942859	1	25879768
ENSDARG00000086471	23	25879320	25942859	1	25879320
ENSDARG00000002377	1	8521323	8532009	1	8521332
ENSDARG00000002377	1	8521323	8532009	1	8521323
ENSDARG00000002377	1	8521323	8532009	1	8521323
ENSDARG00000052129	6	27062512	27089014	1	27062553
ENSDARG00000052129	6	27062512	27089014	1	27062512
ENSDARG00000098029	23	29333851	29357764	-1	29357764
ENSDARG00000097268	24	39117499	39118364	1	39117499
ENSDARG00000059773	3	37235924	37476475	-1	37476278
ENSDARG00000059773	3	37235924	37476475	-1	37476475
ENSDARG00000059773	3	37235924	37476475	-1	37351225
ENSDARG00000095453	23	20340200	20345473	-1	20345473
ENSDARG00000097673	7	65756041	65757798	1	65756041
ENSDARG00000056740	24	33708804	33756003	-1	33756003
ENSDARG00000033446	12	26546820	26559650	-1	26558038
ENSDARG00000033446	12	26546820	26559650	-1	26559650
ENSDARG00000099899	4	34468977	34480599	-1	34480599
ENSDARG00000077253	5	36650064	36654698	1	36650064
ENSDARG00000077253	5	36650064	36654698	1	36650096
ENSDARG00000096836	8	29581495	29635923	-1	29635923
ENSDARG00000105063	4	34443650	34480611	-1	34459618
ENSDARG00000105063	4	34443650	34480611	-1	34480611
ENSDARG00000105063	4	34443650	34480611	-1	34459615
ENSDARG00000105063	4	34443650	34480611	-1	34460301
ENSDARG00000105063	4	34443650	34480611	-1	34455848
ENSDARG00000100694	6	54761141	54796072	-1	54796072
ENSDARG00000093799	5	52039067	52132978	1	52067723
ENSDARG00000093799	5	52039067	52132978	1	52039067
ENSDARG00000092995	24	14623831	14636303	1	14623831
ENSDARG00000052851	5	41082534	41103644	-1	41103583
ENSDARG00000052851	5	41082534	41103644	-1	41103644
ENSDARG00000009844	20	43113465	43118411	1	43113465
ENSDARG00000018871	20	33744065	33749174	1	33744350
ENSDARG00000018871	20	33744065	33749174	1	33745467
ENSDARG00000018871	20	33744065	33749174	1	33744065
ENSDARG00000102608	17	10062045	10073926	-1	10073802
ENSDARG00000102608	17	10062045	10073926	-1	10073926
ENSDARG00000102608	17	10062045	10073926	-1	10073926
ENSDARG00000003818	6	2206495	2222707	-1	2222707
ENSDARG00000019156	8	20897849	20914829	-1	20914829
ENSDARG00000038615	2	44383175	44398611	-1	44398611
ENSDARG00000092774	18	210838	226800	-1	215698
ENSDARG00000092774	18	210838	226800	-1	226800
ENSDARG00000092082	22	14995782	14996591	1	14995782
ENSDARG00000092082	22	14995782	14996591	1	14996094
ENSDARG00000087457	21	29077509	29088928	1	29077509
ENSDARG00000034734	13	36135122	36141486	-1	36141486
ENSDARG00000034734	13	36135122	36141486	-1	36141351
ENSDARG00000079283	21	32332616	32349711	1	32338897
ENSDARG00000079283	21	32332616	32349711	1	32339158
ENSDARG00000079283	21	32332616	32349711	1	32332616
ENSDARG00000021913	20	33708318	33737831	1	33708318
ENSDARG00000021913	20	33708318	33737831	1	33728126
ENSDARG00000105120	15	9444982	9593532	-1	9593532
ENSDARG00000098157	3	8933639	8934476	-1	8934476
ENSDARG00000102929	7	45992048	45993499	-1	45993485
ENSDARG00000102929	7	45992048	45993499	-1	45993416
ENSDARG00000102929	7	45992048	45993499	-1	45993499
ENSDARG00000073688	7	16806473	17015002	1	16834679
ENSDARG00000073688	7	16806473	17015002	1	16806473
ENSDARG00000073688	7	16806473	17015002	1	16806473
ENSDARG00000073688	7	16806473	17015002	1	16991711
ENSDARG00000073688	7	16806473	17015002	1	16835218
ENSDARG00000073688	7	16806473	17015002	1	16963091
ENSDARG00000073688	7	16806473	17015002	1	16834679
ENSDARG00000073688	7	16806473	17015002	1	16834679
ENSDARG00000073688	7	16806473	17015002	1	16912837
ENSDARG00000103180	9	48713222	48713994	1	48713222
ENSDARG00000090814	10	33561567	33572441	-1	33572441
ENSDARG00000027141	5	13337507	13353905	-1	13353811
ENSDARG00000027141	5	13337507	13353905	-1	13353905
ENSDARG00000027141	5	13337507	13353905	-1	13353810
ENSDARG00000102434	11	13366773	13413971	1	13366773
ENSDARG00000099967	23	44553647	44565769	-1	44556681
ENSDARG00000099967	23	44553647	44565769	-1	44565769
ENSDARG00000099967	23	44553647	44565769	-1	44555814
ENSDARG00000099967	23	44553647	44565769	-1	44561840
ENSDARG00000099967	23	44553647	44565769	-1	44555796
ENSDARG00000095872	22	6661712	6662906	-1	6662906
ENSDARG00000052142	6	2174082	2198683	1	2174082
ENSDARG00000052142	6	2174082	2198683	1	2190214
ENSDARG00000052142	6	2174082	2198683	1	2195625
ENSDARG00000093111	22	6613020	6690829	1	6674992
ENSDARG00000093111	22	6613020	6690829	1	6677429
ENSDARG00000093111	22	6613020	6690829	1	6613020
ENSDARG00000069758	9	22656976	22672826	1	22657221
ENSDARG00000069758	9	22656976	22672826	1	22658229
ENSDARG00000069758	9	22656976	22672826	1	22656976
ENSDARG00000069758	9	22656976	22672826	1	22657026
ENSDARG00000039218	14	31890001	31893996	-1	31893996
ENSDARG00000010717	21	15704556	15708626	1	15704630
ENSDARG00000010717	21	15704556	15708626	1	15704556
ENSDARG00000020449	13	3938526	3950673	1	3938526
ENSDARG00000038792	2	33326522	33328688	1	33326522
ENSDARG00000095204	18	30129771	30131831	1	30129796
ENSDARG00000095204	18	30129771	30131831	1	30129799
ENSDARG00000095204	18	30129771	30131831	1	30129799
ENSDARG00000095204	18	30129771	30131831	1	30129771
ENSDARG00000017163	4	20176143	20177868	-1	20177868
ENSDARG00000017163	4	20176143	20177868	-1	20177868
ENSDARG00000044015	10	19723025	19801821	-1	19801821
ENSDARG00000044015	10	19723025	19801821	-1	19801651
ENSDARG00000101456	24	31294019	31306724	-1	31306724
ENSDARG00000076801	14	26566936	26626130	1	26590914
ENSDARG00000076801	14	26566936	26626130	1	26566936
ENSDARG00000003206	23	34047413	34185019	1	34053506
ENSDARG00000003206	23	34047413	34185019	1	34047533
ENSDARG00000003206	23	34047413	34185019	1	34047438
ENSDARG00000003206	23	34047413	34185019	1	34047413
ENSDARG00000003206	23	34047413	34185019	1	34047563
ENSDARG00000003206	23	34047413	34185019	1	34047416
ENSDARG00000105543	7	38245927	38247747	1	38245927
ENSDARG00000078686	22	710759	718615	-1	718615
ENSDARG00000017835	13	33368140	33449639	1	33368140
ENSDARG00000017835	13	33368140	33449639	1	33373713
ENSDARG00000017835	13	33368140	33449639	1	33368503
ENSDARG00000044318	6	39703232	39727244	-1	39727244
ENSDARG00000076025	25	7784582	7866470	1	7784582
ENSDARG00000009253	17	14784258	14794741	1	14784258
ENSDARG00000009253	17	14784258	14794741	1	14784275
ENSDARG00000009253	17	14784258	14794741	1	14789488
ENSDARG00000009253	17	14784258	14794741	1	14784275
ENSDARG00000062549	9	23244292	23253870	-1	23253870
ENSDARG00000062549	9	23244292	23253870	-1	23253870
ENSDARG00000037262	1	26127818	26131088	-1	26131088
ENSDARG00000037262	1	26127818	26131088	-1	26131088
ENSDARG00000075855	1	55730205	55747003	1	55730205
ENSDARG00000037555	14	9507291	9522364	-1	9522364
ENSDARG00000038976	7	13684012	13737618	1	13684012
ENSDARG00000038976	7	13684012	13737618	1	13702248
ENSDARG00000039349	13	30215765	30225311	1	30215910
ENSDARG00000039349	13	30215765	30225311	1	30215765
ENSDARG00000036588	1	47155424	47161996	-1	47161996
ENSDARG00000098257	13	41125358	41546779	-1	41482064
ENSDARG00000098257	13	41125358	41546779	-1	41546779
ENSDARG00000098257	13	41125358	41546779	-1	41482064
ENSDARG00000059351	9	1692926	1703801	-1	1703761
ENSDARG00000059351	9	1692926	1703801	-1	1703801
ENSDARG00000059351	9	1692926	1703801	-1	1703801
ENSDARG00000059351	9	1692926	1703801	-1	1702648
ENSDARG00000105553	7	40866815	40884705	-1	40884705
ENSDARG00000078717	16	28383758	28512860	1	28383758
ENSDARG00000078717	16	28383758	28512860	1	28383792
ENSDARG00000024219	21	4647784	4695583	-1	4695583
ENSDARG00000102612	8	35809081	35960987	-1	35960987
ENSDARG00000075818	8	42545757	42594484	-1	42569226
ENSDARG00000075818	8	42545757	42594484	-1	42594403
ENSDARG00000075818	8	42545757	42594484	-1	42579446
ENSDARG00000075818	8	42545757	42594484	-1	42594380
ENSDARG00000075818	8	42545757	42594484	-1	42594484
ENSDARG00000063006	19	9840771	9882821	-1	9867001
ENSDARG00000063006	19	9840771	9882821	-1	9882821
ENSDARG00000097115	17	30140099	30205302	-1	30204529
ENSDARG00000097115	17	30140099	30205302	-1	30205302
ENSDARG00000055560	9	34884933	34885902	-1	34885902
ENSDARG00000099099	4	76838989	76891899	1	76838989
ENSDARG00000099099	4	76838989	76891899	1	76886332
ENSDARG00000099099	4	76838989	76891899	1	76868683
ENSDARG00000024771	18	5213338	5227420	1	5213338
ENSDARG00000052846	5	40504910	40510399	-1	40510397
ENSDARG00000052846	5	40504910	40510399	-1	40510399
ENSDARG00000092855	13	9896368	10004186	1	9896368
ENSDARG00000092855	13	9896368	10004186	1	9896845
ENSDARG00000014024	4	76752707	76762432	1	76752707
ENSDARG00000100531	6	53429228	53435711	1	53429228
ENSDARG00000101319	21	2289254	2299002	-1	2299002
ENSDARG00000055445	17	19499157	19511206	1	19499157
ENSDARG00000055445	17	19499157	19511206	1	19503856
ENSDARG00000089750	12	16919411	16923162	-1	16923162
ENSDARG00000078529	19	92570	103289	-1	98308
ENSDARG00000078529	19	92570	103289	-1	97159
ENSDARG00000078529	19	92570	103289	-1	103289
ENSDARG00000094550	22	30497494	30499478	1	30497494
ENSDARG00000091169	5	9894143	9948497	-1	9931107
ENSDARG00000091169	5	9894143	9948497	-1	9948497
ENSDARG00000052010	7	44965773	44970994	-1	44970952
ENSDARG00000052010	7	44965773	44970994	-1	44970682
ENSDARG00000052010	7	44965773	44970994	-1	44970994
ENSDARG00000052010	7	44965773	44970994	-1	44970870
ENSDARG00000098075	19	13939750	13950231	-1	13950231
ENSDARG00000093164	22	24673168	24683002	1	24673168
ENSDARG00000093780	15	20960069	20978248	-1	20978248
ENSDARG00000069595	1	45707219	45744854	1	45740183
ENSDARG00000069595	1	45707219	45744854	1	45707219
ENSDARG00000093621	10	8688678	8697787	1	8688678
ENSDARG00000093621	10	8688678	8697787	1	8690936
ENSDARG00000045070	12	26434478	26461744	1	26434478
ENSDARG00000045070	12	26434478	26461744	1	26435918
ENSDARG00000055901	16	27734872	27749172	-1	27749172
ENSDARG00000093608	24	27396989	27400630	-1	27400006
ENSDARG00000093608	24	27396989	27400630	-1	27400630
ENSDARG00000093608	24	27396989	27400630	-1	27400017
ENSDARG00000023111	20	42688488	42702884	-1	42702832
ENSDARG00000023111	20	42688488	42702884	-1	42702884
